name,price,img
مكعبات سكر بني بالقرنفل من دوبيلا - 500 جرام,56.50,https://cf2.s3.souqcdn.com/item/2020/11/05/13/20/29/30/3/item_L_132029303_cc1ff29895fc7.jpg
بابريكا مدخنة حار من بونس، 70جم,56.50,https://cf5.s3.souqcdn.com/item/2020/09/13/13/17/87/06/3/item_L_131787063_fba4bc8e410a0.jpg
دقيق جوز الهند لمجموعة هيلثى ميل من كلاس ايه - 400 جم,57.15,https://cf5.s3.souqcdn.com/item/2020/05/31/12/91/10/71/9/item_L_129110719_617f0782b90fd.jpg
دقيق اللوز لمجموعة هيلثى ميل من كلاس ايه - 400 جم,158.00,https://cf5.s3.souqcdn.com/item/2020/05/31/12/91/10/65/7/item_L_129110657_5e14e84a0ef32.jpg
حبوب الجرانولا بالبروتين والكشمش الاحمر والتوت الاسود وتوت العليق من جو اون - 300 جم,64.00,https://cf1.s3.souqcdn.com/item/2020/10/25/13/19/54/20/5/item_L_131954205_c7101b215ee77.jpg
سلطة سيزر من كوهني أمريكان دريسنج - 250 مل,47.00,https://cf4.s3.souqcdn.com/item/2017/09/11/24/02/95/35/item_L_24029535_35041066.jpg
زجاجة ماء ورد من جمانة - 250 مل,16.00,https://cf5.s3.souqcdn.com/item/2020/12/15/13/21/78/88/8/item_L_132178888_492ea066ac796.jpg
ارز من كيرنيل - 5 كجم,89.50,https://cf5.s3.souqcdn.com/item/2018/08/30/37/56/06/80/item_L_37560680_146348722.jpg
فاصوليا حمراء من ايه ام ار- 400 جم,14.50,https://cf5.s3.souqcdn.com/item/2020/08/18/13/16/91/08/9/item_L_131691089_63cc26f0d0758.jpg
ملون طعام جل من دوبيلا، 30 مل - اخضر,20.50,https://cf3.s3.souqcdn.com/item/2020/11/05/13/20/29/32/1/item_L_132029321_255c4c24fdadb.jpg
مرقة دجاج من كالنورت - 10 جرام,2.00,https://cf3.s3.souqcdn.com/item/2020/12/23/13/22/03/60/8/item_L_132203608_7a6afb2e7698b.jpg
حبوب الفطار بالشوفان من لينو، 20 جرام - 30 قطعة,40.00,https://cf3.s3.souqcdn.com/item/2020/09/13/13/17/86/22/1/item_L_131786221_8bcba389aef94.jpg
صوص الفلفل الحار مدخن سريراتشا من فلاينج - 200 مل,44.00,https://cf1.s3.souqcdn.com/item/2020/08/03/13/16/11/99/1/item_L_131611991_e129106cb664b.jpg
حبوب موسلى التقليديه من سانتيه - 350 جم,37.50,https://cf2.s3.souqcdn.com/item/2018/08/13/23/79/90/31/item_L_23799031_144766634.jpg
خلطة الكبدة الاسكندراني من كنور - 30 جم,3.75,https://cf2.s3.souqcdn.com/item/2020/08/12/13/16/57/88/5/item_L_131657885_8ca2bf016d903.jpg
